journal_name,jif,jif_5yr,jif_quartile,category,issn,eissn
Current Opinion in Insect Science,4.8,5.8,Q1,ENTOMOLOGY|Q1|2/109,2214-5745,2214-5753
JOURNAL OF URBAN ECONOMICS,4.8,6.5,Q1,URBAN STUDIES|Q1|7/77,0094-1190,1095-9068
APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,4.8,3.6,Q1,MECHANICS|Q1|21/170,0253-4827,1573-2754
WORLD DEVELOPMENT,4.8,6.7,Q1,ECONOMICS|Q1|45/597,0305-750X,1873-5991
Biological Psychiatry-Cognitive Neuroscience and Neuroimaging,4.8,5.5,Q1,NEUROSCIENCES|Q1|40/310,2451-9022,2451-9030
PHARMACEUTICAL BIOLOGY,4.8,4.4,Q1,PLANT SCIENCES|Q1|48/265,1388-0209,1744-5116
SCHIZOPHRENIA BULLETIN,4.8,6.0,Q1,PSYCHIATRY|Q1|28/276,0586-7614,1745-1701
CELLULOSE,4.8,5.6,Q1,POLYMER SCIENCE|Q1|16/94,0969-0239,1572-882X
JOURNAL OF LEGAL EDUCATION,4.8,1.4,Q1,,0022-2208,0022-2208
ACM Transactions on Knowledge Discovery from Data,4.8,4.9,Q1,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|Q1|21/131",1556-4681,1556-472X
International Journal of Transportation Science and Technology,4.8,N/A,Q1,TRANSPORTATION SCIENCE & TECHNOLOGY|Q2|22/72,2046-0430,2046-0449
SMALL BUSINESS ECONOMICS,4.8,7.9,Q1,MANAGEMENT|Q1|55/401,0921-898X,1573-0913
AMERICAN JOURNAL OF EPIDEMIOLOGY,4.8,5.2,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|33/403",0002-9262,1476-6256
npj Genomic Medicine,4.8,5.0,Q1,GENETICS & HEREDITY|Q1|33/191,N/A,2056-7944
Journal of Hospitality and Tourism Insights,4.8,4.8,Q1,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q1|20/139",2514-9792,2514-9806
BEST PRACTICE & RESEARCH IN CLINICAL RHEUMATOLOGY,4.8,5.9,Q1,RHEUMATOLOGY|Q1|11/57,1521-6942,1521-1770
BMC PLANT BIOLOGY,4.8,5.4,Q1,PLANT SCIENCES|Q1|41/265,1471-2229,1471-2229
JOURNAL OF APPLIED ECOLOGY,4.8,6.1,Q1,ECOLOGY|Q1|24/195,0021-8901,1365-2664
Neurology and Therapy,4.8,4.8,Q1,CLINICAL NEUROLOGY|Q1|54/277,2193-8253,2193-6536
Georisk-Assessment and Management of Risk for Engineered Systems and Geohazards,4.8,4.5,Q1,"GEOSCIENCES, MULTIDISCIPLINARY|Q1|17/253",1749-9518,1749-9526
JOURNAL OF LIGHTWAVE TECHNOLOGY,4.8,4.7,Q1,TELECOMMUNICATIONS|Q2|33/119,0733-8724,1558-2213
CELLULAR ONCOLOGY,4.8,5.4,Q1,PATHOLOGY|Q1|11/88,2211-3428,2211-3436
Ad Hoc Networks,4.8,4.4,Q1,TELECOMMUNICATIONS|Q1|29/119,1570-8705,1570-8713
Frontiers in Plant Science,4.8,5.7,Q1,PLANT SCIENCES|Q1|44/265,1664-462X,1664-462X
Frontiers in Pharmacology,4.8,5.2,Q1,PHARMACOLOGY & PHARMACY|Q1|65/354,N/A,1663-9812
JMIR Aging,4.8,N/A,Q1,MEDICAL INFORMATICS|Q1|8/44,N/A,2561-7605
Computer Methods and Programs in Biomedicine,4.8,5.4,Q1,MEDICAL INFORMATICS|Q1|9/44,0169-2607,1872-7565
EUROPEAN PHYSICAL JOURNAL C,4.8,4.5,Q2,"PHYSICS, PARTICLES & FIELDS|Q2|8/30",1434-6044,1434-6052
Energy & Environment,4.8,4.2,Q1,ENVIRONMENTAL STUDIES|Q2|47/182,0958-305X,2048-4070
Academy of Management Discoveries,4.8,6.2,Q1,MANAGEMENT|Q2|108/401,N/A,2168-1007
Design Studies,4.8,4.8,Q1,"ENGINEERING, MULTIDISCIPLINARY|Q1|36/179",0142-694X,1872-6909
IEEE Transactions on Computational Imaging,4.8,5.6,Q1,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY|Q2|10/36,2573-0436,2333-9403
Pharmaceuticals,4.8,4.9,Q1,PHARMACOLOGY & PHARMACY|Q1|69/354,N/A,1424-8247
IEEE Antennas and Wireless Propagation Letters,4.8,5.0,Q1,TELECOMMUNICATIONS|Q2|40/119,1536-1225,1548-5757
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,4.8,4.7,Q1,ASTRONOMY & ASTROPHYSICS|Q1|16/84,0035-8711,1365-2966
CLIMATIC CHANGE,4.8,5.8,Q1,METEOROLOGY & ATMOSPHERIC SCIENCES|Q1|18/110,0165-0009,1573-1480
COMPUTERS & STRUCTURES,4.8,4.9,Q1,"ENGINEERING, CIVIL|Q1|24/181",0045-7949,1879-2243
IEEE Open Journal of Vehicular Technology,4.8,5.8,Q1,TRANSPORTATION SCIENCE & TECHNOLOGY|Q1|16/72,N/A,2644-1330
ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,4.8,6.4,Q1,MULTIDISCIPLINARY SCIENCES|Q1|24/134,0077-8923,1749-6632
Drones,4.8,5.0,Q1,REMOTE SENSING|Q1|14/62,N/A,2504-446X
IEEE TRANSACTIONS ON BROADCASTING,4.8,4.3,Q1,TELECOMMUNICATIONS|Q2|50/119,0018-9316,1557-9611
Maritime Transport Research,4.8,4.6,Q1,TRANSPORTATION SCIENCE & TECHNOLOGY|Q2|24/72,2666-822X,2666-822X
TRANSPORTATION SCIENCE,4.8,6.2,Q1,TRANSPORTATION SCIENCE & TECHNOLOGY|Q2|20/72,0041-1655,N/A
Sustainability-Science Practice and Policy,4.8,6.3,Q1,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q3|52/91,N/A,1548-7733
Frontiers in Cellular and Infection Microbiology,4.8,5.5,Q1,MICROBIOLOGY|Q1|37/161,2235-2988,2235-2988
Cancer Nanotechnology,4.8,5.1,Q1,ONCOLOGY|Q1|78/322,1868-6958,1868-6966
MATRIX BIOLOGY,4.8,6.7,Q1,CELL BIOLOGY|Q2|72/205,0945-053X,1569-1802
Maritime Economics & Logistics,4.8,4.9,Q1,TRANSPORTATION|Q2|16/57,1479-2931,1479-294X
Chinese Journal of Population Resources and Environment,4.8,3.7,Q1,ENVIRONMENTAL STUDIES|Q2|50/182,2096-9589,2325-4262
TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,4.8,4.2,Q1,MANAGEMENT|Q2|143/401,1478-3363,1478-3371
INTERMETALLICS,4.8,4.6,Q1,METALLURGY & METALLURGICAL ENGINEERING|Q1|15/90,0966-9795,1879-0216
APPLIED CATALYSIS A-GENERAL,4.8,4.8,Q2,ENVIRONMENTAL SCIENCES|Q2|93/358,0926-860X,1873-3875
Expert Review of Vaccines,4.8,4.5,Q2,IMMUNOLOGY|Q1|39/181,1476-0584,1744-8395
Frontiers in Bioengineering and Biotechnology,4.8,5.6,Q1,"ENGINEERING, BIOMEDICAL|Q2|39/122",2296-4185,2296-4185
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,4.8,5.0,Q1,IMMUNOLOGY|Q1|34/181,1018-9068,1698-0808
ACM Transactions on Interactive Intelligent Systems,4.8,5.1,Q2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|Q2|72/197",2160-6455,2160-6463
Biomolecules,4.8,5.6,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q1|67/313,N/A,2218-273X
Brain Circulation,4.8,3.1,Q1,NEUROSCIENCES|Q3|205/310,2394-8108,2455-4626
Sustainable Environment Research,4.8,5.1,Q2,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q2|40/91,2468-2039,2468-2039
CELLULAR AND MOLECULAR NEUROBIOLOGY,4.8,4.5,Q1,NEUROSCIENCES|Q2|103/310,0272-4340,1573-6830
Batteries-Basel,4.8,5.2,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q2|141/438",N/A,2313-0105
JOURNAL OF COMPUTATIONAL CHEMISTRY,4.8,4.2,Q2,"CHEMISTRY, MULTIDISCIPLINARY|Q2|91/230",0192-8651,1096-987X
Wiley Interdisciplinary Reviews-RNA,4.8,7.1,Q2,CELL BIOLOGY|Q1|44/205,1757-7004,1757-7012
Extracellular Vesicles and Circulating Nucleic Acids,4.8,5.4,Q1,,N/A,2767-6641
PROGRESS IN REACTION KINETICS AND MECHANISM,4.8,1.2,Q2,"CHEMISTRY, PHYSICAL|Q3|133/178",1468-6783,1471-406X
BRITISH JOURNAL OF POLITICAL SCIENCE,4.7,5.7,Q1,POLITICAL SCIENCE|Q1|11/317,0007-1234,1469-2112
ZOOLOGICAL RESEARCH,4.7,4.7,Q1,ZOOLOGY|Q1|4/180,2095-8137,2095-8137
Journal of Computers in Education,4.7,5.9,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|26/756,2197-9987,2197-9995
OBSTETRICS AND GYNECOLOGY,4.7,6.3,Q1,OBSTETRICS & GYNECOLOGY|Q1|7/136,0029-7844,0029-7844
Spine Journal,4.7,5.1,Q1,ORTHOPEDICS|Q1|5/136,1529-9430,1878-1632
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,4.7,4.9,Q1,OPHTHALMOLOGY|Q1|6/95,0146-0404,1552-5783
Intensive and Critical Care Nursing,4.7,4.4,Q1,NURSING|Q1|2/191,0964-3397,1532-4036
Anatomical Sciences Education,4.7,4.9,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES|Q1|4/85",1935-9772,1935-9780
Revista de Psiquiatria y Salud Mental,4.7,4.3,Q1,PSYCHIATRY|Q1|32/276,1888-9891,1989-4600
ECONOMIC MODELLING,4.7,4.8,Q1,ECONOMICS|Q1|72/597,0264-9993,1873-6122
Information and Organization,4.7,6.9,Q1,MANAGEMENT|Q1|69/401,1471-7727,1873-7919
JOURNAL OF SOCIAL ISSUES,4.7,5.9,Q1,SOCIAL ISSUES|Q1|5/67,0022-4537,1540-4560
EUROPEAN RADIOLOGY,4.7,5.3,Q1,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q1|22/204",0938-7994,1432-1084
INORGANIC CHEMISTRY,4.7,4.2,Q1,"CHEMISTRY, INORGANIC & NUCLEAR|Q1|8/44",0020-1669,1520-510X
RMD Open,4.7,4.9,Q1,RHEUMATOLOGY|Q1|8/57,2056-5933,2056-5933
TOBACCO CONTROL,4.7,4.4,Q1,SUBSTANCE ABUSE|Q1|7/55,0964-4563,1468-3318
Journal of Risk Finance,4.7,3.1,Q1,"BUSINESS, FINANCE|Q1|14/231",1526-5943,2331-2947
npj Primary Care Respiratory Medicine,4.7,3.6,Q1,RESPIRATORY SYSTEM|Q2|35/100,N/A,2055-1010
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,4.7,6.0,Q1,BIOLOGY|Q1|12/109,0962-8436,1471-2970
Digestive Endoscopy,4.7,5.2,Q1,SURGERY|Q1|15/290,0915-5635,1443-1661
ECOGRAPHY,4.7,6.7,Q1,ECOLOGY|Q1|19/195,0906-7590,1600-0587
European Journal of Pharmacology,4.7,4.7,Q1,PHARMACOLOGY & PHARMACY|Q1|75/354,0014-2999,1879-0712
Cambridge Journal of Regions Economy and Society,4.7,5.7,Q1,GEOGRAPHY|Q1|8/171,1752-1378,1752-1386
Telematics and Informatics Reports,4.7,4.6,Q1,,N/A,2772-5030
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,4.7,4.4,Q1,PHARMACOLOGY & PHARMACY|Q1|69/354,0928-0987,1879-0720
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,4.7,4.6,Q1,ONCOLOGY|Q2|91/322,1048-891X,1525-1438
Organic Chemistry Frontiers,4.7,4.5,Q1,"CHEMISTRY, ORGANIC|Q1|6/58",2052-4129,2052-4129
mBio,4.7,5.5,Q1,MICROBIOLOGY|Q1|27/161,N/A,2150-7511
International Immunopharmacology,4.7,5.0,Q1,PHARMACOLOGY & PHARMACY|Q1|50/354,1567-5769,1878-1705
DIABETES & METABOLISM,4.7,5.3,Q1,ENDOCRINOLOGY & METABOLISM|Q1|36/186,1262-3636,1878-1780
Global Strategy Journal,4.7,7.4,Q2,MANAGEMENT|Q1|69/401,2042-5791,2042-5805
Journal of Behavioral and Experimental Finance,4.7,5.0,Q1,ECONOMICS|Q1|70/597,2214-6350,2214-6369
Tourism Geographies,4.7,6.5,Q1,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q1|25/139",1461-6688,1470-1340
Travel Medicine and Infectious Disease,4.7,4.5,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|25/403",1477-8939,1873-0442
ACM Transactions on Sensor Networks,4.7,4.1,Q1,TELECOMMUNICATIONS|Q2|38/119,1550-4859,1550-4867
Advances in Simulation,4.7,N/A,Q1,HEALTH CARE SCIENCES & SERVICES|Q2|57/174,N/A,2059-0628
INTERNATIONAL JOURNAL OF CANCER,4.7,5.9,Q1,ONCOLOGY|Q1|54/322,0020-7136,1097-0215
Molecular Therapy Methods & Clinical Development,4.7,5.0,Q2,"MEDICINE, RESEARCH & EXPERIMENTAL|Q2|49/189",N/A,2329-0501
Reproductive Biology and Endocrinology,4.7,4.9,Q1,REPRODUCTIVE BIOLOGY|Q1|5/39,N/A,1477-7827
Earth Systems and Environment,4.7,6.4,Q1,METEOROLOGY & ATMOSPHERIC SCIENCES|Q1|16/110,2509-9426,2509-9434
BIOORGANIC CHEMISTRY,4.7,4.9,Q1,"CHEMISTRY, ORGANIC|Q1|7/58",0045-2068,1090-2120
Matter and Radiation at Extremes,4.7,4.7,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|19/110",2468-2047,2468-080X
Anaesthesia Critical Care & Pain Medicine,4.7,4.4,Q1,CRITICAL CARE MEDICINE|Q1|12/54,2352-5568,2352-5568
Journal of Exposure Science and Environmental Epidemiology,4.7,5.4,Q1,TOXICOLOGY|Q1|20/106,1559-0631,1559-064X
ENVIRONMENTAL AND EXPERIMENTAL BOTANY,4.7,5.4,Q1,PLANT SCIENCES|Q1|36/265,0098-8472,1873-7307
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,4.7,4.8,Q1,WATER RESOURCES|Q1|25/127,1561-8633,1684-9981
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,4.7,5.4,Q1,PHYSIOLOGY|Q1|8/85,0363-6143,1522-1563
Journal of Earth Science,4.7,3.7,Q1,"GEOSCIENCES, MULTIDISCIPLINARY|Q1|40/253",1674-487X,1867-111X
Journal of Intensive Care,4.7,5.0,Q1,CRITICAL CARE MEDICINE|Q1|11/54,2052-0492,2052-0492
WATER RESOURCES MANAGEMENT,4.7,4.2,Q1,WATER RESOURCES|Q1|28/127,0920-4741,1573-1650
TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA,4.7,4.7,Q1,METALLURGY & METALLURGICAL ENGINEERING|Q1|13/90,1003-6326,2210-3384
GM Crops & Food-Biotechnology in Agriculture and the Food Chain,4.7,4.0,Q1,PLANT SCIENCES|Q1|36/265,2164-5698,2164-5701
China Geology,4.7,5.0,Q1,"GEOSCIENCES, MULTIDISCIPLINARY|Q1|30/253",2096-5192,2096-5192
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,4.7,6.1,Q2,MANAGEMENT|Q1|99/401,1355-2554,1758-6534
Obesity,4.7,4.8,Q1,NUTRITION & DIETETICS|Q1|27/114,1930-7381,1930-739X
Food Chemistry: Molecular Sciences,4.7,5.3,Q2,FOOD SCIENCE & TECHNOLOGY|Q2|46/173,2666-5662,2666-5662
ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,4.7,5.0,Q1,IMMUNOLOGY|Q1|37/181,1081-1206,1534-4436
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,4.7,4.6,Q1,CELL BIOLOGY|Q2|67/205,0022-2828,1095-8584
Nucleic Acid Therapeutics,4.7,3.8,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q2|63/189",2159-3337,2159-3345
Electronic Commerce Research,4.7,4.6,Q2,MANAGEMENT|Q2|137/401,1389-5753,1572-9362
ACS Applied Polymer Materials,4.7,5.0,Q1,POLYMER SCIENCE|Q1|23/94,2637-6105,2637-6105
Non-coding RNA Research,4.7,4.4,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q1|52/313,2468-2160,2468-0540
EXERCISE AND SPORT SCIENCES REVIEWS,4.7,5.8,Q1,SPORT SCIENCES|Q1|6/127,0091-6331,1538-3008
ACS Applied Electronic Materials,4.7,4.7,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q2|151/438",N/A,2637-6113
Obesity Facts,4.7,4.5,Q1,NUTRITION & DIETETICS|Q2|32/114,1662-4025,1662-4033
Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej,4.7,3.2,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|42/325",0032-3772,1897-9483
JOURNAL OF PUBLIC POLICY & MARKETING,4.7,7.2,Q2,BUSINESS|Q1|65/302,0743-9156,1547-7207
MOLECULAR CANCER RESEARCH,4.7,4.9,Q1,ONCOLOGY|Q2|91/322,1541-7786,1557-3125
Additive Manufacturing Letters,4.7,4.7,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q2|158/438",2772-3690,2772-3690
POLYMER COMPOSITES,4.7,4.5,Q1,POLYMER SCIENCE|Q1|17/94,0272-8397,1548-0569
INDUSTRIAL MANAGEMENT & DATA SYSTEMS,4.7,6.0,Q2,"ENGINEERING, INDUSTRIAL|Q1|17/69",0263-5577,1758-5783
MATERIALS CHEMISTRY AND PHYSICS,4.7,4.4,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q2|151/438",0254-0584,1879-3312
MATERIALS AND MANUFACTURING PROCESSES,4.7,4.6,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q2|163/438",1042-6914,1532-2475
Nano Communication Networks,4.7,3.6,Q2,TELECOMMUNICATIONS|Q2|58/119,1878-7789,1878-7797
Solar RRL,4.7,5.3,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|106/438",2367-198X,2367-198X
Journal of Islamic Marketing,4.7,5.1,Q2,BUSINESS|Q2|129/302,1759-0833,1759-0841
Colloid and Interface Science Communications,4.7,4.7,Q2,NANOSCIENCE & NANOTECHNOLOGY|Q2|55/140,2215-0382,2215-0382
Microporous and Mesoporous Materials,4.7,4.8,Q2,NANOSCIENCE & NANOTECHNOLOGY|Q2|52/140,1387-1811,1873-3093
BioDesign Research,4.7,N/A,Q1,,N/A,2693-1257
Frontiers in Artificial Intelligence,4.7,5.1,Q1,"COMPUTER SCIENCE, INFORMATION SYSTEMS|Q2|95/249",N/A,2624-8212
Journal of Membrane Science Letters,4.7,4.6,Q2,"ENGINEERING, CHEMICAL|Q1|39/170",2772-4212,2772-4212
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,4.7,4.2,Q2,"CHEMISTRY, PHYSICAL|Q2|71/178",1010-6030,1873-2666
Batteries & Supercaps,4.7,5.3,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q2|130/438",N/A,2566-6223
Cell Regeneration,4.7,N/A,Q2,CELL BIOLOGY|Q2|87/205,N/A,2045-9769
Journal of Molecular Structure,4.7,4.0,Q2,"CHEMISTRY, PHYSICAL|Q2|72/178",0022-2860,1872-8014
Materials Advances,4.7,5.5,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q2|129/438",N/A,2633-5409
ACS Applied Bio Materials,4.7,4.4,Q2,NANOSCIENCE & NANOTECHNOLOGY|Q2|59/140,2576-6422,2576-6422
AI & Society,4.7,4.9,Q2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|Q2|95/197",0951-5666,1435-5655
CURRENT TREATMENT OPTIONS IN ONCOLOGY,4.7,4.7,Q1,ONCOLOGY|Q2|102/322,1527-2729,1534-6277
BIOSCIENCE REPORTS,4.7,3.4,Q1,CELL BIOLOGY|Q2|96/205,0144-8463,1573-4935
Clean Technologies,4.7,4.7,Q2,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q3|47/91,N/A,2571-8797
GEOLOGY,4.6,5.2,Q1,GEOLOGY|Q1|1/60,0091-7613,1943-2682
Asia-Pacific Education Researcher,4.6,4.6,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|48/756,0119-5646,2243-7908
Innovation in Language Learning and Teaching,4.6,4.5,Q1,LINGUISTICS|Q1|19/297,1750-1229,1750-1237
JOURNAL OF COMPUTER ASSISTED LEARNING,4.6,5.8,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|13/756,0266-4909,1365-2729
Bone & Joint Journal,4.6,4.8,Q1,SURGERY|Q1|16/290,2049-4394,2049-4394
ENTOMOLOGIA GENERALIS,4.6,4.4,Q1,ENTOMOLOGY|Q1|3/109,0171-8177,2363-7102
RESUSCITATION,4.6,5.4,Q1,EMERGENCY MEDICINE|Q1|1/54,0300-9572,1873-1570
HIGHER EDUCATION,4.6,5.5,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|48/756,0018-1560,1573-174X
Earth System Governance,4.6,6.3,Q1,PUBLIC ADMINISTRATION|Q1|8/91,2589-8116,2589-8116
Ophthalmology Science,4.6,4.6,Q1,OPHTHALMOLOGY|Q1|16/95,2666-9145,2666-9145
South European Society and Politics,4.6,3.9,Q1,SOCIAL ISSUES|Q1|7/67,1360-8746,1743-9612
Journal of Marketing Communications,4.6,N/A,Q1,,1352-7266,1466-4445
SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,4.6,4.3,Q1,SPECTROSCOPY|Q1|5/44,1386-1425,1873-3557
NEW POLITICAL ECONOMY,4.6,5.0,Q1,POLITICAL SCIENCE|Q1|31/317,1356-3467,1469-9923
Annals of Physical and Rehabilitation Medicine,4.6,5.3,Q1,REHABILITATION|Q1|6/169,1877-0657,1877-0665
China Agricultural Economic Review,4.6,5.4,Q1,ECONOMICS|Q1|66/597,1756-137X,1756-1388
Emerging Markets Review,4.6,5.1,Q1,ECONOMICS|Q1|39/597,1566-0141,1873-6173
Child and Adolescent Psychiatry and Mental Health,4.6,4.8,Q1,PSYCHIATRY|Q2|79/276,N/A,1753-2000
JOURNAL OF DEVELOPMENT ECONOMICS,4.6,6.4,Q1,ECONOMICS|Q1|52/597,0304-3878,1872-6089
European Heart Journal-Quality of Care and Clinical Outcomes,4.6,4.8,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|43/220,2058-5225,2058-1742
CHINESE JOURNAL OF PHYSICS,4.6,3.7,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|20/110",0577-9073,0577-9073
ARTHRITIS RESEARCH & THERAPY,4.6,4.8,Q1,RHEUMATOLOGY|Q1|12/57,1478-6354,1478-6362
CEPHALALGIA,4.6,5.0,Q1,NEUROSCIENCES|Q1|49/310,0333-1024,1468-2982
Current Issues in Tourism,4.6,6.3,Q1,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q1|18/139",1368-3500,1747-7603
JOURNAL OF NEUROLOGY,4.6,5.0,Q1,CLINICAL NEUROLOGY|Q1|38/277,0340-5354,1432-1459
PHARMACOECONOMICS,4.6,5.1,Q1,PHARMACOLOGY & PHARMACY|Q1|65/354,1170-7690,1179-2027
International Journal of Antimicrobial Agents,4.6,5.0,Q1,PHARMACOLOGY & PHARMACY|Q1|45/354,0924-8579,1872-7913
TOXICOLOGY,4.6,4.8,Q1,TOXICOLOGY|Q1|14/106,0300-483X,1879-3185
BRITISH JOURNAL OF BIOMEDICAL SCIENCE,4.6,2.6,Q1,MEDICAL LABORATORY TECHNOLOGY|Q2|13/30,0967-4845,2474-0896
JOURNAL OF MEDICAL VIROLOGY,4.6,4.7,Q1,VIROLOGY|Q1|4/41,0146-6615,1096-9071
NEUROPHARMACOLOGY,4.6,4.5,Q1,PHARMACOLOGY & PHARMACY|Q1|57/354,0028-3908,1873-7064
REVIEWS IN FISH BIOLOGY AND FISHERIES,4.6,6.1,Q1,MARINE & FRESHWATER BIOLOGY|Q1|2/119,0960-3166,1573-5184
Global Health Research and Policy,4.6,4.8,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|56/403",N/A,2397-0642
JOURNAL OF CLINICAL PSYCHIATRY,4.6,5.4,Q1,"PSYCHOLOGY, CLINICAL|Q1|17/180",0160-6689,1555-2101
Clinical Kidney Journal,4.6,4.6,Q1,UROLOGY & NEPHROLOGY|Q1|18/126,2048-8505,2048-8513
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,4.6,5.9,Q1,MEDICAL INFORMATICS|Q1|10/44,1067-5027,1527-974X
ENVIRONMENT AND BEHAVIOR,4.6,7.0,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|17/218",0013-9165,1552-390X
Hepatology Communications,4.6,5.2,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|24/143,N/A,2471-254X
mSystems,4.6,5.7,Q1,MICROBIOLOGY|Q1|29/161,N/A,2379-5077
GEOPHYSICAL RESEARCH LETTERS,4.6,5.1,Q1,"GEOSCIENCES, MULTIDISCIPLINARY|Q1|30/253",0094-8276,1944-8007
Journal of Clinical Lipidology,4.6,4.2,Q1,PHARMACOLOGY & PHARMACY|Q2|94/354,1933-2874,1876-4789
BIOLOGICAL RESEARCH,4.6,6.6,Q1,BIOLOGY|Q1|17/109,0716-9760,0717-6287
Current Addiction Reports,4.6,5.2,Q1,SUBSTANCE ABUSE|Q1|6/55,N/A,2196-2952
Antibiotics-Basel,4.6,4.9,Q1,PHARMACOLOGY & PHARMACY|Q1|69/354,2079-6382,2079-6382
SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,4.6,4.8,Q1,"GEOSCIENCES, MULTIDISCIPLINARY|Q1|34/253",0267-7261,1879-341X
Geomatics Natural Hazards & Risk,4.6,4.4,Q1,WATER RESOURCES|Q1|20/127,1947-5705,1947-5713
European Heart Journal-Acute Cardiovascular Care,4.6,3.9,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|49/220,2048-8726,2048-8734
Results in Physics,4.6,4.3,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|22/110",2211-3797,2211-3797
Computer Networks,4.6,5.0,Q1,TELECOMMUNICATIONS|Q1|29/119,1389-1286,1872-7069
FOOD MICROBIOLOGY,4.6,5.1,Q1,MICROBIOLOGY|Q1|39/161,0740-0020,1095-9998
HYPERTENSION RESEARCH,4.6,4.3,Q1,PERIPHERAL VASCULAR DISEASE|Q1|15/96,0916-9636,1348-4214
Frontiers of Computer Science,4.6,3.9,Q1,"COMPUTER SCIENCE, THEORY & METHODS|Q1|35/143",2095-2228,2095-2236
Journal of Advances in Modeling Earth Systems,4.6,7.8,Q1,METEOROLOGY & ATMOSPHERIC SCIENCES|Q1|24/110,N/A,1942-2466
CONTACT DERMATITIS,4.6,4.8,Q1,DERMATOLOGY|Q1|11/94,0105-1873,1600-0536
CONTROL ENGINEERING PRACTICE,4.6,4.5,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|59/352",0967-0661,1873-6939
Data Science and Engineering,4.6,3.7,Q1,"COMPUTER SCIENCE, THEORY & METHODS|Q1|19/143",2364-1185,2364-1541
JOURNAL OF FORESTRY RESEARCH,4.6,3.3,Q1,FORESTRY|Q1|9/89,1007-662X,1993-0607
